doi;author;title;year;abstract;journal
10.1515/stuf-2023-2007;Matthew Zaslansky;The Turkic middle voice system: deponency and paradigm reorganization;2023;The goal of this paper is to recharacterize the distribution of two suffixes in Common Turkic, the reflexive -(I)n and the reciprocal -(I)? . Despite having quite distinct sources (the former as a suffix employed in the derivation of intransitive verbs, the latter a plural marker), these two suffixes have fallen into a somewhat overlapping distribution in the modern Turkic languages. They share a range of middle-like functions, and so they are characterized here as a bipartite middle voice system. Many of these functions have become peripheral, however, and the system increasingly consists of a class of verbs with deponent paradigms.;LANGUAGE TYPOLOGY AND UNIVERSALS
10.1515/stuf-2023-2008;"Sebastian Dom; Leora Bar-el; Ponsiano Sawaka Kanijo; Malin Petzell";Middle voice in Bantu: in- and detransitivizing morphology in Kagulu;2023;This paper explores the middle voice in Kagulu, a Bantu language of Tanzania. Although not traditionally recognized in Bantu languages, recent research has asserted that middle voice is attested in some Bantu languages. We propose that of eight affixes that might be considered middle markers, Kagulu has two affixes that are part of the middle voice system, each one coding two different detransitivizing voices. We argue that, from a diachronic viewpoint, the underdeveloped voice syncretism of Kagulu’s middle markers is the result of competing morphology and minimal functional innovations towards voice syncretism in the derivational system of Kagulu.;LANGUAGE TYPOLOGY AND UNIVERSALS
10.1515/stuf-2023-2009;"David M. Karaj; Andrea Sans?";From verbalizer to middle marker: the diachrony of middle voice in Malayic;2023;In Malayic languages, prefixes derived from Proto-Malayic *(mb)AR- are characterized by an unusual multifunctionality pattern. On the one hand, continuators of *(mb)AR- may encode functions that are typical of middle markers across languages. On the other hand, they are used as denominal verb formatives. The aim of this article is to provide a diachronic explanation for such an unusual combination of functions. The denominal verbalizing function of *(mb)AR- appears to be primary, and a diachronic scenario can be sketched through which a denominal verb formative has extended to cover a portion of the functional space cross-linguistically encoded by middle markers.;LANGUAGE TYPOLOGY AND UNIVERSALS
10.1515/stuf-2023-2010;"Guglielmo Inglese; Jean-Christophe Verstraete";Evidence against unidirectionality in the emergence of middle voice systems;2023;Middle voice systems are characterized by the distribution of a middle marker over two macro-classes of verbs: oppositional and non-oppositional verbs. In diachronic studies, it has been proposed that the historical link between the two groups is unidirectional, with middle marking spreading from oppositional to non-oppositional verbs. In this paper, we challenge this assumption and discuss two case studies, one from Anatolian and one from Paman languages that show the opposite development, that is, from non-oppositional to oppositional. In both cases, we argue, constructions that originally had a lexically determined distribution develop grammatical functions connected with valency reduction.;LANGUAGE TYPOLOGY AND UNIVERSALS
10.1515/stuf-2023-frontmatter1;;Frontmatter;2023;Article Frontmatter was published on April 1, 2023 in the journal STUF - Language Typology and Universals (volume 76, issue 1).;LANGUAGE TYPOLOGY AND UNIVERSALS
10.1515/stuf-2023-2004;"Henrik Bergqvist; Karolina Grzech";The role of pragmatics in the definition of evidentiality;2023;This paper argues that a definition of evidentiality as a linguistic notion should be based on the pragmatic properties of evidential forms and their distribution in spoken discourse. The prevailing definition of evidentiality as signaling “information source” is based on the idea that evidentials encode a solitary speaker’s perception and cognitive processes, but this definition does not fit well with observations regarding the use and distribution of evidentials. A definition of evidentiality in terms of “information source” has largely disregarded evidentials in-use, which is especially true for typologically oriented studies of evidentiality. Recent descriptions of evidentials and evidential systems have shown that evidentials encode meanings related to ownership of knowledge, rather than information source and it is evident from such descriptions that social and interactional parameters are encoded in evidential forms. The attested semantic and pragmatic complexity of evidential systems constitutes an analytical challenge that the present paper aims to address.;LANGUAGE TYPOLOGY AND UNIVERSALS
10.1515/stuf-2023-2003;Lukas Denk;Visualizing the conceptual space of pluractionality;2023;"This paper seeks to improve the understanding of the conceptual structure of pluractionality, a bundle of functions denoting the plurality of events. By conducting a multidimensional scaling analysis on 366 marking strategies from the 183-language sample in Mattiola, Simone (2019. Typology of pluractional constructions in the languages of the world . Amsterdam &amp; Philadelphia: John Benjamins), a spatial model is presented showing the semantic distance of pluractional functions as Euclidean distance. This quantitatively induced conceptual space differs in some way from the space proposed by Mattiola (2019) comprising data from only a small fraction of the sample. The analysis reveals that the conceptual space could be interpreted as defined by two prominent dimensions: a vertical dimension that represents the boundedness of events and a horizontal dimension that represents participant-oriented versus event-oriented plurality.";LANGUAGE TYPOLOGY AND UNIVERSALS
10.1515/stuf-2023-2002;"Simon Fries; Jakob Halfmann; Eugen Hill; Denise H?bner";From noun to future tense;2023;This article explores a typologically unusual but recurrent evolutionary path of innovated future formations neglected by typological research: the change of predicative deverbal nouns (understood here in the broad sense of any deverbal nominal expression/formation) – namely agent nouns and participles – denoting actions typical of referents to future verb-forms via hypoanalysis. Starting with an overview of typologically recurrent ways of creating new future formations, the article seeks to demonstrate that the l -future found in the three Nuristani languages Nuristani Kalasha, Ashkun and Kat? developed from active participles designating actions typical of their referents. As a typological parallel of this development the Vedic Sanskrit t?? -future is established, and it is shown by the example of the English will  + infinitive future and the futurate use of Russian perfective non-past verb-forms how the change of predicative deverbal nouns denoting actions typical of referents to future verb-forms is brought about by means of hypoanalysis.;LANGUAGE TYPOLOGY AND UNIVERSALS
10.1515/stuf-2023-2001;Gertrud Schneider-Blum;The impact of attentional centering on ergative marking in Tima;2023;"One of the languages on the African continent which displays ergative features is Tima, a Niger-Congo language spoken in the Nuba Mountains of Sudan. In this contribution, the impact of attentional centering – influenced by factors including the animacy of the participants, the identifiability of the agent, and the givenness of either A or P participant – on the choice of construction between AVO and OV Aerg is investigated. The research brought forth the following findings: token-identifiable human agents typically trigger an AVO constituent order; type-identifiable human agents typically trigger an OVAerg constituent order; the event described may or may not be decomposed into two sub-events; inanimate agents acting on human animates trigger a decomposition of the event into two sub-events: first, P is presented, and second, A is introduced as an ergative-marked participant following the verb. The information structural device of givenness interacts with the two parameters of agent-identifiability and animacy. A given agent always leads to an AVO construction. A given patient finds the speaker faced with the choice of opting for an AVO or an OVAerg construction.";LANGUAGE TYPOLOGY AND UNIVERSALS
10.1515/stuf-2022-frontmatter4;;Frontmatter;2022;Article Frontmatter was published on November 1, 2022 in the journal STUF - Language Typology and Universals (volume 75, issue 4).;LANGUAGE TYPOLOGY AND UNIVERSALS
10.1515/stuf-2022-1060;"Bruno Herin; Stefano Manfredi; Christophe Pereira";Preface;2022;Article Preface was published on November 1, 2022 in the journal STUF - Language Typology and Universals (volume 75, issue 4).;LANGUAGE TYPOLOGY AND UNIVERSALS
10.1515/stuf-2022-1061;Stefano Manfredi;Pain Constructions in modern Arabic dialects: a typological overview;2022;Pain Constructions (PCs) constitute a class of experiential constructions expressing situations that involve unpleasant physical experiences (e.g. headache , burning eyes, dizziness , etc.). Previous cross-linguistic comparisons have shown that, though languages do not have dedicated morphosyntactic structures for encoding pain, there are certain constructions that are more likely to express physical experiences. Based on original data elicited by means of a situational questionnaire, this paper aims at analyzing the semantic and syntactic properties of PCs in modern Arabic dialects and to make typological generalizations about their cross-dialect variation. Benefiting from insights from both linguistic typology and contact linguistics, the study eventually shows that, despite considerable lexicosemantic and morphosyntactic variation, PCs in Arabic can be reduced to two main syntactic types: locational and inverse constructions.;LANGUAGE TYPOLOGY AND UNIVERSALS
10.1515/stuf-2022-1062;Stephan Proch?zka;Towards a typology of attributive adjectives in Arabic dialects;2022;Arabic is a typical noun-attribute language with head-driven agreement in gender and number. As for definite attributive NPs, the default in most spoken Arabic varieties is definite marking of both the noun and the adjective – a feature that is rarely found cross-linguistically. This article shows that there are also cases of reversed word order, lacking agreement in gender, and dialects with definite marking on the nominal head. In dialects at the northern fringe of the Fertile Crescent, definiteness is by default only marked on the adjective. In these dialects, adjectival attributes are structurally identical to nominal attributes, including the use of the construct state with feminine heads.;LANGUAGE TYPOLOGY AND UNIVERSALS
10.1515/stuf-2022-1063;Zeineb Sellami;The typology of progressive constructions in Arabic dialects;2022;This paper describes and compares the strategies used in Arabic dialects to encode the progressive aspect, in order to show their similarities and what sets them apart from one another, as well as to situate them within cross-linguistic tendencies. Drawing on a wide variety of data, the paper shows the different ways the progressive aspect was (or is being) grammaticalized in Arabic dialects in light of the typologically common paths of grammaticalization. These paths involve for some dialects the reorganization of their aspectual categories, and thus provide an interesting perspective to look at the evolution of aspectual systems in Arabic varieties.;LANGUAGE TYPOLOGY AND UNIVERSALS
10.1515/stuf-2022-1064;Denis Creissels;Existential predication and predicative possession in Arabic dialects;2022;"In the existential domain, Classical Arabic expresses the ground &gt; figure perspectivization in locational predication by a mere change in constituent order, but Modern Arabic varieties have variously grammaticalized existential particles that tend to acquire verb-like properties. In the possessive domain, Classical Arabic and Modern Standard Arabic have a typical oblique-possessor (or locational possessive) construction in which the possessor phrase is flagged by a preposition. In the vernacular varieties, this preposition has become a possessive predicator with some verbal properties, whose coding frame is similar (although not fully identical) to that of a transitive verb. More radical changes in the existential and possessive domains are attested in pidginized/creolized Arabic varieties.";LANGUAGE TYPOLOGY AND UNIVERSALS
10.1515/stuf-2022-1065;"Christopher Lucas; Mohammed Alluhaybi";The typology of negation across varieties of Arabic;2022;Drawing primarily on the data collated by Alluhaybi (2019. Negation in modern Arabic varieties from a typological point of view . London: SOAS University of London PhD thesis), this article first situates Arabic within the crosslinguistic typology of negative strategies put forward, among others, by Miestamo (2005. Standard negation: The negation of declarative verbal main clauses in a typological perspective . Berlin: Mouton de Gruyter). It then surveys the main parameters of variation among different varieties of Arabic in the expression of standard negation, non-verbal negation, and negative imperatives, with a particular focus on the issue of the single versus bipartite expression of negation. The article finishes by looking at some recent debates concerning the diachronic evolution of the observed patterns.;LANGUAGE TYPOLOGY AND UNIVERSALS
10.1515/stuf-2022-1066;Catherine Taine-Cheikh;From embedded propositions to complex predicates;2022;This article examines verbal sequences in Arabic dialects which can correspond either to complex sentences with embedded clauses or to complex predicates with reduction of one or the other verb. The first part is devoted to complex sentences where completives and subordinates of purpose and consequence are introduced by a marker that is generally specific, but sometimes polyfunctional. The second part explores embedding without a subordinator (with distinct or identical subjects), as well as with cases of complex predicates, sometimes with reduction of V 1 (cases of auxiliarization and pragmatization), sometimes of V 2 (rare cases of serial verbs).;LANGUAGE TYPOLOGY AND UNIVERSALS
10.1515/stuf-2022-frontmatter3;;Frontmatter;2022;Article Frontmatter was published on September 1, 2022 in the journal STUF - Language Typology and Universals (volume 75, issue 3).;LANGUAGE TYPOLOGY AND UNIVERSALS
10.1515/stuf-2022-1057;Rivka Halevy;What makes the dative-experiencer construction in Modern Hebrew different from its counterparts in European languages?;2022;The paper proposes a usage-based account of a largely productive pattern of dative experiential sentences in Modern Hebrew that stand in contra-distinction to their parallels in Indo-European languages. In the pattern under consideration, the dative-Experiencer is non-topical, following an invariable predicate in masculine singular form. The paper seeks to prove that the construction in Hebrew is essentially a subjectless construction. Its origin is traced back to Biblical Hebrew, but its proliferation in present-day language is assumed to be contact-facilitated by a parallel subject-like dative-Experiencer construction widespread in Slavic and Yiddish languages.;LANGUAGE TYPOLOGY AND UNIVERSALS
10.1515/stuf-2022-1058;Melanie Schippling;Three-participant events in Romani;2022;"This paper presents the results of an investigation into the morphosyntactic expression of three-participant events in Romani and situates Romani within a typological framework (Margetts &amp; Austin 2007). It provides an inventory of attested strategies and first insights into their distribution across the dialects of Romani. My research indicates that three-place predicate and oblique/adjunct strategies are the principal means for encoding three-participant events in Romani, each applicable for several event types. However, dialectal differences become apparent. For each Romani dialect cluster, one variety is particularly focussed upon, namely: Kaldera? (Vlax), Arli (Balkan), East Slovak Romani (Central), Sinti (Northwestern), and Lithuanian Romani (Northeastern).";LANGUAGE TYPOLOGY AND UNIVERSALS
10.1515/stuf-2022-1059;Melanie Viljoen;Varying functions of the comitative preposition ?b?? in Gavar;2022;The purposes of this study are to investigate and describe the varying functions of the comitative preposition ?b?? with Throughout this paper the preposition ?b?? will be glossed in small caps with in order to reflect the fact that its meaning has extended beyond ‘with’ to a variety of other grammatical functions. in Gavar, compare these functions with cross-linguistic observations and propose an explanation for their diachronic development. This particle has a wide variety of functions. Firstly, it is used as a preposition marking phrases with a wide range of semantic roles. Secondly, its use has extended to Noun Phrase coordination, a common occurrence cross-linguistically. Its clause linking functions include its use as a temporal/sequential marker and elaboration. Of special interest to typologists is its predicative/complementizer use. This function is not observed in nearby languages and appears to be unusual cross-linguistically. Informed by previous research on the behavior of the comitative/instrumental preposition with cross-linguistically, general grammaticalization principles and an analysis of the semantic links between the different functions based on shared semantic features, a semantic map/network is provided showing the possible paths of development for the various functions of ?b?? with in Gavar.;LANGUAGE TYPOLOGY AND UNIVERSALS
10.1515/stuf-2022-frontmatter2;;Frontmatter;2022;Article Frontmatter was published on July 1, 2022 in the journal STUF - Language Typology and Universals (volume 75, issue 2).;LANGUAGE TYPOLOGY AND UNIVERSALS
10.1515/stuf-2022-1053;Kate Bellamy;The numeral system of P’urhepecha: historical and typological perspectives;2022;"The internal structure of numeral systems can shed light on processes of word formation, language contact and change. In this article I analyze the numeral system of P’urhepecha on the basis of historical and contemporary sources. The system is unusual typologically and areally since it possesses monolexemic terms to six, while seven to nine are compounds with five; and the forms for the base (20) and next power (400) have clear non-corporeal meanings. I also provide a more nuanced evaluation of vigesimal counting systems in Mesoamerica. The language-internal and external findings underline the importance of more detailed historical studies of P’urhepecha.";LANGUAGE TYPOLOGY AND UNIVERSALS
10.1515/stuf-2022-1054;Man Lu;Polygrammaticalization: the morpheme ko in the Miluo Xiang dialect;2022;The present paper presents a descriptive and analytical account of the various functions of the morpheme ko in Miluo, a Xiang variety of Chinese. This morpheme is used as a classifier, genitive, possessive, pronominal, relative clause marker, nominalizer and as a sentence-final stance-marking marker. We also illustrate the use of ko as a demonstrative pronoun and prenominal topic marker. We discuss these functions in the light of the diachronic development of nominalizers and topic markers. Our findings provide support for proposals concerning the pathways of grammaticalization that have either been conjectured or attested in various languages, specifically the relation between adnominal markers and nominalization and the relation between demonstratives and topic markers.;LANGUAGE TYPOLOGY AND UNIVERSALS
10.1515/stuf-2022-1055;"Simone Mattiola; Francesca Masini";Discontinuous reduplication: a typological sketch;2022;"The paper investigates discontinuous reduplication (DR), a pattern where reduplicant and base are separated by other material, by annotating a 214-example dataset collected from a 99-language sample. Several items turned out to serve as interposing elements, although their nature does not seem to correlate with function, unlike the category of the base. DR’s functions are a subset of those associated with reduplication cross-linguistically. All languages displaying DR also present contiguous reduplication, suggesting a contiguous reduplication &gt; discontinuous reduplication hierarchy. Finally, a corpus-based analysis of Italian (lacking DR according to grammars) unveiled a wealth of DR patterns, suggesting that corpora are essential for the typological enterprise.";LANGUAGE TYPOLOGY AND UNIVERSALS
10.1515/stuf-2022-1056;"Alessandra Barotto; Caterina Mauri";Non-exhaustive connectives;2022;This paper provides the first cross-linguistic study on non-exhaustive connectives. After defining non-exhaustivity and briefly exploring the range of linguistic strategies encoding it across languages, the methodology underlying the study will be discussed. Based on the analysis of 35 languages, for which at least one non-exhaustive connective was found, it will be argued that non-exhaustive connectives exhibit quite homogenous distributional properties and derive from a restricted set of recurrent diachronic sources. Speakers are indeed likely to mobilize i ) elements already encoding or implying non-exhaustivity, ii ) elements expressing an epistemic condition of uncertainty, or iii ) elements expressing exemplification.;LANGUAGE TYPOLOGY AND UNIVERSALS
10.1515/stuf-2022-frontmatter1;;Frontmatter;2022;Article Frontmatter was published on April 1, 2022 in the journal STUF - Language Typology and Universals (volume 75, issue 1).;LANGUAGE TYPOLOGY AND UNIVERSALS
10.1515/stuf-2022-1047;"Eva van Lier; Maria Messerschmidt";Lexical restrictions on grammatical relations in voice and valency constructions;2022;This paper introduces the topic and the contributions of this special issue. While lexical restrictions are well-studied for grammatical relations defining argument coding (case marking and indexation), they are also common with voice and valency constructions, be they morphologically coded or not. The paper defines relevant terms and sketches the development of current usage-based approaches to lexical restrictions, in reaction to earlier lexicalist and constructional approaches. It then reviews existing studies of lexical restrictions on valency-preserving and valency-changing constructions, drawing connections with the other papers in this issue. In closing, it recommends further corpus-based cross-linguistic research of lexical restrictions.;LANGUAGE TYPOLOGY AND UNIVERSALS
10.1515/stuf-2022-1048;Isabelle Bril;Lexical restrictions on grammatical relations in voice constructions (Northern Amis);2022;"Amis (Austronesian, Taiwan) displays a rich, partly symmetrical voice system and a split case-marking pattern which are selected and restricted by (i) verb classes whose basic diathesis correlates with semantic properties such as activities versus states, and (ii) by Aktionsart features (i.e., atelic activities versus telic accomplishment and achievements), which also denote degrees of patient affectedness. Referential features such as patient definiteness, and semantic features such as agent’s animacy and intentionality also bear on voice selection. This voice system offers alternate ways of encoding arguments within a bipartite case-marking pattern; it also promotes peripheral, non-core arguments to subject function via applicative voice constructions.";LANGUAGE TYPOLOGY AND UNIVERSALS
10.1515/stuf-2022-1049;Michael Daniel;Double causatives, lability and elusive agent in Mehweb;2022;"In this paper, I consider double causatives in Mehweb, a one village language spoken in Daghestan, Russia, and belonging to the Dargwa branch of East Caucasian. The capability of stacking two causative suffixes seems to be lexically restricted, and mapping onto verbal meanings that are typically P-labile in the languages of the family. Interestingly, the verbs allowing double causatives are not morphosyntactically labile in Mehweb, which is generally poor in labile verbs as compared to sister languages. I conclude that the ability to form double causatives is not a consequence of the morphosyntactic property of being labile; rather, both morphosyntactic properties follow from the same component of the lexical semantics of these verbs and ultimately from the properties of the situational concepts they convey. As a tentative functional explanation I suggest that the relevant property is the weakened status of the agentive participant.";LANGUAGE TYPOLOGY AND UNIVERSALS
10.1515/stuf-2022-1050;"Jeremy Bradley; Nikolett F. Guly?s; Andr?s Czentn?r";Causatives in the languages of the Volga-Kama Region;2022;Turkic and Uralic languages of the Russian Volga-Kama Region share a strong preference for transitivization over detransitivization (in contrast to Russian), leading to wide usage of causative derivational suffixes. These tendencies are typical for Turkic and Uralic however and do not necessarily require a contact-linguistic explanation. However, microvariation in causative constructions in these languages and their dialects show convergence between unrelated or distantly related varieties – i.e., strong indicators of contact-induced convergence. This paper looks at such facets in three Uralic (Mari, Udmurt, Komi-Permyak) and two Turkic (Tatar, Chuvash) languages of the region.;LANGUAGE TYPOLOGY AND UNIVERSALS
10.1515/stuf-2022-1051;Atsuko Utsumi;Semantic typology of voice systems in Western Malayo-Polynesian languages;2022;Western Malayo-Polynesian (WMP) languages exhibit inner diversity with regard to voice systems. While some lack verbal morphology encoding voice alternations, others demonstrate so-called symmetrical voice alternations. This paper discusses the internal typological grouping within the latter classification of languages, which are further categorized as being either Indonesian-type and Philippine-type. There are, however, certain languages that do not exhibit all the criteria of either category, but do display symmetrical voice alternations. These languages can be viewed as having ‘transitional’ features. With a focus on two languages from Indonesia, this paper aims to provide a new semantic perspective for describing one of these transitional features by examining voice alternations and categorizing the languages as having either a derivational voice system or an inflectional voice system .;LANGUAGE TYPOLOGY AND UNIVERSALS
10.1515/stuf-2022-1052;Maria Messerschmidt;Increasing the valency of motion verbs: the case of the portative construction;2022;This paper surveys the valency-increasing constructions that apply to motion verbs in 49 genetically diverse languages. These include causative constructions, a variety of applicative constructions and the portative construction which is a valency-increasing construction that is lexically restricted to motion verbs. In the portative construction, the verb’s valency is increased by adding theme as a P-argument, but conceptually there is also an element of (co-motional) causation. However, the paper argues that the construction is neither causative nor applicative. Instead, the portative construction, which is frequent in the sample languages, should be considered a distinct type of valency-increasing construction.;LANGUAGE TYPOLOGY AND UNIVERSALS
10.1515/stuf-2021-frontmatter3-4;;Frontmatter;2021;Article Frontmatter was published on September 1, 2021 in the journal STUF - Language Typology and Universals (volume 74, issue 3-4).;LANGUAGE TYPOLOGY AND UNIVERSALS
10.1515/stuf-2021-1040;"Thera Marie Crane; Johanna Nichols; Bastian Persohn";Introduction: the role of the lexicon in actionality;2021;Actionality (also referred to by labels such as “lexical aspect” or “aktionsart”) is the semantic dimension that encodes the constituent phases and boundaries of situations. Despite its central role in aspectual interpretation, careful language-specific descriptions and typological surveys of actional systems have been rare thus far. In this introduction, we describe the steps that lead to the compilation of the present special issue. We discuss several theoretical and methodological challenges that both field linguists and typologists face when investigating actional systems in the languages of the world and we point out some of the important insights to be gained from such endeavors. We then proceed to give an overview of the individual and varied contributions that make up this issue.;LANGUAGE TYPOLOGY AND UNIVERSALS
10.1515/stuf-2021-1041;Walter Breu;Actionality and the degree of temporal dynamics;2021;The interaction of lexical actionality with grammatical aspect is explained in a comprehensive system, based on the “degree of temporal dynamics” of simple and complex actional classes and of the various functions, expressed by aspect grammemes (extended ILA model, focus aspect). Then a new conceptualization of less frequent aspect phenomena is presented. A novelty is the differentiation of focus aspect from status aspect, characterized by habitualization and the transformation of telic events into atelic activities. Argument structures are claimed to be responsible for class changes, especially with respect to the incorporative (INCO) class, combining activity, telicity and a subsequent state.;LANGUAGE TYPOLOGY AND UNIVERSALS
