doi;author;title;year;abstract;journal
10.1163/19606028-05102100;;Back matter;2022;"""Back matter"" published on 10 Oct 2022 by Brill.";CAHIERS DE LINGUISTIQUE ASIE ORIENTALE
10.1163/19606028-05101000;;Front matter;2022;"""Front matter"" published on 17 Mar 2022 by Brill.";CAHIERS DE LINGUISTIQUE ASIE ORIENTALE
10.1163/19606028-bja10022;Jean-Baptiste LAMONTRE;Morphologie affixale et radicale du verbe simple kulung;2022;R?sum? Cet article esquisse la description morphologique du verbe simple en kulung (kiranti, tib?to-birman), ? l’?exclusion des formations r?fl?chies et compos?es. Comme l’?ensemble des langues kiranties, le kulung se signale par une morphologie verbale non triviale associant polysynth?se, indexation biactantielle et allormorphie radicale. La description de la morphologie affixale clarifie et compl?te celle qu’?en donne Tolsma (2006). La description de l’?allomorphie radicale fait appel ? la notion d’?espace th?matique telle qu’?explicit?e dans les travaux de Boy? & Bonami (2003) et Bonami (2014). L’?ensemble des modifications apport?es ? la description de Tolsma (2006) repose ? la fois sur une analyse des contradictions internes de l’?ouvrage, et sur l’?analyse d’?un corpus opportuniste de 150?000 mots.;CAHIERS DE LINGUISTIQUE ASIE ORIENTALE
10.1163/19606028-bja10019;Julien BALEY;Leveraging graph algorithms to speed up the annotation of large rhymed corpora;2022;"Abstract Rhyming patterns play a crucial role in the phonological reconstruction of earlier stages of Chinese. The past few years have seen the emergence of the use of graphs to model rhyming patterns, notably with List’s (2016) proposal to use graph community detection as a way to go beyond the limits of the link-and-bind method and test new hypotheses regarding phonological reconstruction. List’s approach requires the existence of a rhyme-annotated corpus; such corpora are rare and prohibitively expensive to produce. The present paper solves this problem by introducing several strategies to automate annotation. Among others, the main contribution is the use of graph community detection itself to build an automatic annotator. This annotator requires no previous annotation, no knowledge of phonology, and automatically adapts to corpora of different periods by learning their rhyme categories. Through a series of case studies, we demonstrate the viability of the approach in quickly annotating hundreds of thousands of poems with high accuracy.";CAHIERS DE LINGUISTIQUE ASIE ORIENTALE
10.1163/19606028-bja10020;Niina Ning ZHANG;Agentless presupposition and implicit and non-canonical objects in Mandarin;2022;Abstract Mandarin Chinese allows implicit, non-canonical, and quantity-objects. The first type is seen in W? zh?o-gu?-le ‘Lit.: I looked for’, which means ‘I have looked for some entity that is known to the interlocutors’. The second type is seen in L?l? qi?-le n? b? d? d?o ‘Lit.: Lili cut that big knife’, which means that Lili cut something with that big knife. The third type is seen in z?u-le y? l? ‘walked one mile’. From the perspective of the interaction of y?u ‘again’ with different kinds of objects, this paper shows that while implicit objects and quantity-objects behave like explicit canonical objects, non-canonical objects do not behave like canonical ones. This paper provides new evidence to support Zhang Niina Ning’s (2018, Natural Language and Linguistic Theory 36: 1395–1437) claim that a non-canonical object restricts the meaning of the verb, rather than saturates any argument of the verb. It also supports the internal argument analysis of post-verbal quantity expressions.;CAHIERS DE LINGUISTIQUE ASIE ORIENTALE
10.1163/19606028-bja10017;Nathan W. HILL;Two notes on Proto-Ersuic;2022;Abstract This paper looks at the history of Tosu using 'forward reconstruction'. It concludes that Proto-Ersuic changed *-im to *-am already before its breakup as a unity, but the ‘brightening’ of *-a- to -i- took place independently in Tosu and Lizu-Ersu. In Tosu this brightening did not target labial (or velar) initial words lacking an inherited medial *-j-. A number of changes in the history of Tosu probably preceded brightening, namely *-um, *-ak > -o and *-u, *-it, *-at, *-ra > -e. In contrast, the change *-e- > -i- in Tosu, of unclear conditioning, appears to be quite late. A dissimilation *CeCe > CeCa is potentially also a recent change.;CAHIERS DE LINGUISTIQUE ASIE ORIENTALE
10.1163/19606028-bja10021;Fran?oise BOTT?RO;Yau Shun-chiu ???;2022;"""Yau Shun-chiu ???"" published on 17 Mar 2022 by Brill.";CAHIERS DE LINGUISTIQUE ASIE ORIENTALE
10.1163/19606028-bja10018;Giorgio Francesco ARCODIA;On a possible convergence area in Northern China;2021;"Abstract The received view that the differences among Sinitic languages are mostly limited to their phonology and, to a lesser extent, to the lexicon (Chao 1968), has been challenged in recent years, with plenty of studies showing that Chinese ‘dialects’ are, indeed, diverse at all levels, including morphology and (morpho-)syntax (see Chappell 2015a for an overview). Some major differences within the Sinitic branch follow areal patterns, in which contact is often claimed to play a crucial role. In our contribution, we would like to propose that there is an area within Northern China, spread over the Shanxi, Henan, Hebei, and Shandong provinces, in which we find Sinitic languages possessing some features not seen (or, at least, uncommon) elsewhere. These include: 1. reduced/nonconcatenative morphology (see Arcodia 2013, 2015; Lamarre 2015); 2. object markers based on speech act verbs (see Chappell 2013); and 3. structural particles with an l-initial (see Chen A. 2013, a.o.). Based on our own survey of a sample of 96 dialects, we shall discuss the distribution of these features, as well as their possible origins.";CAHIERS DE LINGUISTIQUE ASIE ORIENTALE
10.1163/19606028-bja10015;Muhammad ZAKARIA;Revisiting Proto-Kuki-Chin initials;2021;Abstract There has been some progress in the reconstruction of Proto-Kuki-Chin (PKC), but, due to the previous lack of data from languages reflecting all the Kuki-Chin sub-groups, the available reconstructions merit fresh consideration. On the basis of new data of Kuki-Chin (KC) languages, this paper proposes revisions to some of the reconstructions put forward by VanBik (2009). This paper particularly discusses PKC numerals in detail, especially the reconstruction of the numerals with prefixes.;CAHIERS DE LINGUISTIQUE ASIE ORIENTALE
10.1163/19606028-05002001;Chinfa LIEN;Some temporal expressions in early Southern Min play scripts;2021;Abstract Drawing on the data in early Southern Min play scripts, this paper explores temporal expressions—in particular temporal adverbials—which bear on the issues of their grammatical categories and syntactic placement. Considerable space is devoted to clarifying two kinds of distinctions of temporal adverbials on the strength of attested examples. A distinction is made between deictic temporal adverbials and determiner phrase-derived temporal adverbials. Similarly, durative adverbials are shown to behave differently from punctual adverbials. Finally, I argue that the metonymic semantic shift of deictic temporal adverbials denoting tomorrow and yesterday/the day before yesterday is grounded in the constraint of proximity to the deictic center of today in connection with the backdrop of diachronic development.;CAHIERS DE LINGUISTIQUE ASIE ORIENTALE
10.1163/19606028-bja10014;Luk?? Z?DRAPA;Ancient Chinese sentence final particle ?r ?;2021;Abstract The article amounts to a fully comprehensive study on the sentence final particle ?r ? in Classical Chinese. After an overview of the explanations of the functions of the particle in reference books, all relevant occurrences in the pre-Q?n texts are analysed, and the results are compared with its usage in the documents of the Western H?n era. The possible interpretations of its meaning(s) proposed by the author are subsequently put in relation to hypothetical etymological links based on the theory of Old Chinese morphology in Sagart’s vein.;CAHIERS DE LINGUISTIQUE ASIE ORIENTALE
10.1163/19606028-bja10012;"Tohru SERAKU; Min-Young PARK; Sayaka SAKAGUCHI";A grammatical description of the placeholder are in spontaneous Japanese;2021;Abstract When a speaker encounters a word-formulation problem in interaction, she may use a placeholder to saturate the syntactic slot of the target expression in the unfolding sentence. Japanese exhibits the placeholder are, which is assumed to derive from the demonstrative are ‘that.’ Despite rich studies on placeholders, no serious attention has been paid to grammatical parallelism and differences between a placeholder and its original lexical counterpart. In this paper, we focus on the nominal placeholder are (and its predicative variants) and the demonstrative are ‘that,’ and propose the set of criteria which capture their parallelism and differences in non-discrete terms.;CAHIERS DE LINGUISTIQUE ASIE ORIENTALE
10.1163/19606028-bja10013;Ian JOO;The etymology of Korean ssal ‘uncooked grain’ and pap ‘cooked grain’;2021;Abstract In this paper, I will provide etymological explanations for the two Korean words for ‘grain’: ssal ‘uncooked grain’ and pap ‘cooked grain.’ The word ssal ‘uncooked grain’ is a loanword from Middle Chinese bu-sat ‘Bodhisattva,’ linking the Buddhist holy figure to the type of food that has a sacred status in Korean culture. The support for this claim comes from the fact that (i) grains were sometimes associated with the Buddha’s body in Korea, and (ii) certain dialects of Japanese have also referred to rice—undoubtedly the most favored type of grain—as bosatsu ‘Bodhisattva’ or bupp?-sama ‘Lord Buddha Dharma.’ Moreover, pap ‘cooked grain’ is most likely derived from the baby-talk term for ‘food,’ because cross-linguistically, baby-talk terms for ‘food’ or ‘to eat’ tend to be similar to /papa/ or /mama/, some of which shifted into the adult-talk term for food or a common type of food.;CAHIERS DE LINGUISTIQUE ASIE ORIENTALE
10.1163/19606028-bja10011;?? ?;????????????????????????;2021;?? ????????????“????????[sa5]?”?“?”???????????????????????????????????????????????????????????/??????????????????????????????????????????????;CAHIERS DE LINGUISTIQUE ASIE ORIENTALE
10.1163/19606028-bja10009;"Elisabeth M. DE BOER; Petros LOUKAREAS";The preservation of proto-Japanese tone class 2.5 in the Izumo region explained;2020;Abstract In 1981, Okumura Mitsuo reported that the dialect of Izumo Taisha in western Japan had preserved remnants of the separate tone class 2.5, which until then had only been found in dialects in central Japan. His discovery proved that this tone class had formed part of proto-Japanese, but the phonetic realization in Izumo and in central Japan was totally different. The article offers a reconstruction of the proto-system of the Izumo region, as well as an explanation of how class 2.5 came to be (partly) preserved in Izumo. It is argued that this was through a series of rightward shifts of the /H/ tone. These shifts radiated out from the northwestern part of the region. In the period, when the shifts were active, a contour tone on the second syllable of class 2.5 blocked rightward /H/ tone shift in this class. In this way, the contour tone, although later lost, left a trace in the modern dialects.;CAHIERS DE LINGUISTIQUE ASIE ORIENTALE
10.1163/19606028-bja10006;"Thomas VAN HOEY; Arthur Lewis THOMPSON";The Chinese Ideophone Database (CHIDEOD);2020;Abstract This article introduces the Chinese Ideophone Database (CHIDEOD), an open-source dataset, which collects 4948 unique onomatopoeia and ideophones (mimetics, expressives) of Mandarin, as well as Middle Chinese and Old Chinese. These are analyzed according to a wide range of variables, e.g., description, frequency. Apart from an overview of these variables, we provide a tutorial that shows how the database can be accessed in different formats (.rds, .xlsx, .csv, R package and online app interface), and how the database can be used to explore skewed tonal distribution across Mandarin ideophones. Since CHIDEOD is a data repository, potential future research applications are discussed.;CAHIERS DE LINGUISTIQUE ASIE ORIENTALE
10.1163/19606028-bja10008;"????? ???; ?? ?; ?? ?";??????????????????????;2020;?? ?????????????????????????????????????????????????15????13?????2??????????????????????????????/d, g, z/ ???????????????????????? ????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????? ?????????????????????????????????????????????????????????????????????????????????????????????;CAHIERS DE LINGUISTIQUE ASIE ORIENTALE
10.1163/19606028-bja10010;"Juan SUN; Cristina GRISOT";Repenser l’?expression de la r?f?rence temporelle en chinois mandarin;2020;R?sum? En adoptant, de mani?re originale, une approche inter-linguistique de la r?f?rence temporelle en chinois mandarin, cette ?tude vise ? mener une investigation globale et exhaustive des diff?rents moyens linguistiques et non-linguistiques par lesquels le mandarin exprime, en l’?absence de tout marquage morphologique de temps, la r?f?rence temporelle d’?une situation, ainsi que leurs riches interactions. Nous prenons part au d?bat r?cent entre l’?approche tens?e (centr?e sur les langues indo-europ?ennes) et l’?approche non-tens?e (centr?e sur les diff?rences typologiques du mandarin) de la r?f?rence temporelle en mandarin, et nous donnons des arguments th?oriques et empiriques en faveur de la derni?re.;CAHIERS DE LINGUISTIQUE ASIE ORIENTALE
10.1163/19606028-bja10007;Dmitry NIKOLAEV;On the sound change *ld > nd in Tibetic;2020;Abstract This short note provides phonetic and phonological arguments in favour of the explanation of the sound change *ld > nd in Tibetic proposed by Sprigg (1972). It is argued that an alternative explanation by Gong (2016), resting on a novel interpretation of the consonant system of Common Central Tibetan, is not supported by the data and has no conceptual advantages.;CAHIERS DE LINGUISTIQUE ASIE ORIENTALE
10.1163/19606028-bja10001;????;?????“????” (The voicing of unvoiced obstruents in Thebo Tibetan);2020;?? ??????????????b-??????????????????????????????????????????????????????“????”? ?????????????????????????????????????????????;CAHIERS DE LINGUISTIQUE ASIE ORIENTALE
10.1163/19606028-bja10003;Zh? H?o W?NG;A linguistic study on rhyming in the Beijing dialect/ ????????????;2020;Abstract Rhyming plays an important role in the study of Chinese phonology. Traditionally it is believed that there are two types of rhyming between finals: free rhyming and mixed rhyming. Finals which rhyme with each other freely constitute a rhyme group, while the rhyming between finals from different rhyme groups can only be mixed rhyming. By analyzing the rhyming in the modern Beijing dialect using a statistical method, we find a third type: semi-free rhyming, which is close to free rhyming. As a whole, these two types can be called pan-free rhyming. Thus, the definition of rhyme group must be revised as the maximum unit of pan-free rhyming, because free rhyming is no longer a transitive relation, i.e., when both final pairs A–B and B–C are free rhyming, A–C may be semi-free rhyming. As for the Beijing dialect, our statistical test results approve that non-?rhu? finals are divided into 15 rhyme groups, and subsequent phonological analyses show that words in the same rhyme group share the same nucleus and coda. Besides finals, tones also function apparently in rhyming, but in a different way from the three types mentioned above. As more Chinese dialects are studied, the typology of rhyming in Chinese dialects can be analyzed, creating a useful reference for the study of Chinese historical phonology.;CAHIERS DE LINGUISTIQUE ASIE ORIENTALE
10.1163/19606028-bja10004;Johann-Mattis LIST;Improving data handling and analysis in the study of rhyme patterns;2020;Abstract By reviewing a recent quantitative study of rhyme patterns in Mandarin Chinese, this study shows how data handling and data analysis in the study of rhyme patterns can be improved. Suggestions for improvement include (a) a consistent annotation of rhyme data, which is exhaustive and facilitates data reuse, and (b) emphasizes the importance of automated approaches for exploratory data analysis, which can help to analyze rhyme data in an improved way, prior to applying statistical frameworks for hypothesis testing.;CAHIERS DE LINGUISTIQUE ASIE ORIENTALE
10.1163/19606028-bja10005;Song TAN;? GE en dialecte de Shenyang (appartenant au mandarin du Nord-Est);2020;R?sum? Cet article se consacre ? l’?analyse du morph?me polyfonctionnel ? GE en dialecte de Shenyang appartenant au mandarin du Nord-Est. ? GE peut fonctionner comme un verbe, une pr?position, un adverbe et un subordonnant et il poss?de cinq r?alisations possibles?: [k?44], [k?24], [k?213], [k?u44], [k?u24]. L’?emploi privil?gi? de ? GE est toutefois celui de la pr?position polys?mique «???». En fonction du sens des morph?mes qu’?il met en relation, ? GE «???» pr?sente, au niveau s?mantique, des valeurs spatiales (localisation des objets ou des activit?s, trajet, provenance), temporelle, instrumentale ou encore la valeur d’?accompagnement et la valeur de conformit?.;CAHIERS DE LINGUISTIQUE ASIE ORIENTALE
10.1163/19606028-bja10002;"Laurent SAGART; Kun MA";A 250-item list of Old Chinese vocabulary in the Baxter-Sagart reconstruction;2020;Abstract A 250-concept list was established for the purposes of an ongoing lexically-based study of Sino-Tibetan. This paper supplies the Old Chinese version of the list, in the Old Chinese reconstruction of Baxter and Sagart 2014. Chinese words attested in pre-Han times were selected based on their meaning as given in major lexica such as the H?ny? D? Z?di?n. At times more than one OC item was found to match a concept in the list without it being clear which of the terms was the oldest. In such cases all the candidates were retained. As a result, the Old Chinese version of the list contains 301 words.;CAHIERS DE LINGUISTIQUE ASIE ORIENTALE
10.1163/19606028-04802001;"Hannes A. FELLNER; Nathan W. HILL";Word families, allofams, and the comparative method;2019;Abstract Linguists researching the Trans-Himalayan family do not have a self-perception as working outside the mainstream of historical linguistics, but ‘word families’ and ‘allofams’ are important elements in their thinking despite the absence of these terms in the wider discipline. A close examination of the practice of historical linguistics in Indo-European and Trans-Himalayan leads to the conclusion that those phenomena treated as word families admit superior analyses in more traditional terms.;CAHIERS DE LINGUISTIQUE ASIE ORIENTALE
10.1163/19606028-04802003;Zev HANDEL;A brief response to Fellner and Hill’s “Word families, allofams, and the comparative method”;2019;Abstract In a recent article, Fellner & Hill (this volume) level a strong critique against what they view as the misguided prevailing methodology of historical-comparative reconstruction in the Sino-Tibetan (aka Trans-Himalayan) language family. The central focus of their criticism is the assembling of “word families” and the reconstruction of ST proto-forms exhibiting variation to account for those word families. In this response, I argue that the methodology is basically sound and is appropriate to the current state of our knowledge. At the same time, I dispute some of the assertions made by Fellner & Hill, which I believe are mischaracterizations of the methods and assumptions underlying the work of Sino-Tibetan scholars.;CAHIERS DE LINGUISTIQUE ASIE ORIENTALE
10.1163/19606028-04802004;Axel SCHUESSLER;Comments on Fellner and Hill: “Word families, allofams, and the comparative method”;2019;Abstract This response to Fellner and Hill defends the concept of word family and allofam.;CAHIERS DE LINGUISTIQUE ASIE ORIENTALE
10.1163/19606028-04802007;Graham THURGOOD;A review of Fellner and Hill’s “Word families, allofams, and the comparative method”;2019;Abstract Fellner and Hill (this volume) argue that the recourse to the notion of word families has prevented scholars specializing in Sino-Tibetan comparative linguistics from working out regular sound correspondences. This paper disputes this evaluation of the state of the art in the field, and suggests that F&H’s appraisal is due to severe misunderstandings.;CAHIERS DE LINGUISTIQUE ASIE ORIENTALE
10.1163/19606028-04802006;"Hannes A. FELLNER; Nathan W. HILL";The differing status of reconstruction in Trans-Himalayan and Indo-European;2019;"Abstract The replies to Fellner and Hill (this volume) present the practice of historical linguistics in the study of the Trans-Himalayan family as on the trail our Indo-European forbears blazed. The replies further present “word families” and “allofams” as beacons that light this path; we disagree. Our respondents overlook the different status of reconstructions in the two families. Research at the subgroup level that they point to as Neogrammarian implements a formalist approach to reconstruction, which, fine as far as it goes, lacks the sophistication of reconstructions in more mature disciplines. Not appreciating the different status of reconstruction in the two families, our respondents exaggerate the extent to which Indo-European evinces “word family”-like phenomena and present allofams as more synchronically plausible than they are.";CAHIERS DE LINGUISTIQUE ASIE ORIENTALE
10.1163/19606028-04802002;Bianca BASCIANO;On the event structure of Chinese resultative compounds;2019;Abstract It has been observed that Chinese resultative compounds display varied aspectual behaviors. Yong (1997) distinguishes between simple change resultatives, i.e. resultatives expressing instantaneous change, but allowing a process preliminary to the final change, and complex change resultatives, i.e. those allowing a gradual development of action. Starting from this distinction, this paper aims at providing a structural account of these resultative compounds, based on the constructionist framework put forth by Ramchand (2008), arguing that only simple change resultatives are characterized by having a result layer in their eventive structure. Complex change resultatives, in contrast, are characterized by having the result element in the complement position of the process projection, providing a scalar path. This allows a gradual change of state, and telicity emerges when the path is bounded. The paper also discusses the relation between complex change resultatives and degree achievements.;CAHIERS DE LINGUISTIQUE ASIE ORIENTALE
10.1163/19606028-04802005;;Erratum;2019;"""Erratum"" published on 27 Nov 2019 by Brill.";CAHIERS DE LINGUISTIQUE ASIE ORIENTALE
10.1163/19606028-04801004;Laurent SAGART;A model of the origin of Kra-Dai tones;2019;"Abstract This paper finds origins for the three Kra-Dai tones in the segmental endings of Proto-Southern Austronesian, the parent language of Kra-Dai and Malayo-Polynesian. The Kra-Dai A category originates in sonorant endings (vowels, semi-vowels, nasals, liquids) and in Proto-Austronesian *-H2, reconstructed by Tsuchida (1976); the B category in *-R and in *-X, a hitherto not reconstructed ending reflected as -h in Amis and in the Bisayan language Aklanon; the C category, in Proto-Austronesian *-H1, reconstructed by Tsuchida. The tonal outcomes of *-s and *-S are described. Kra-Dai sonorant endings in tone C are argued to come from hypothetical Austronesian prototypes in which a sonorant ending was followed by *-s, a suffix of unknown function. Although the present model does not require Kra-Dai to be a daughter of Proto-Austronesian, the building blocks for Kra-Dai tones are shown to be in place during the Formosan phase of Austronesian phonological history.";CAHIERS DE LINGUISTIQUE ASIE ORIENTALE
10.1163/19606028-04801001;"Sireemas MASPONG; Pittayawat PITTAYAPORN";Length contrast of high vowels in the Thai language of the Sukhothai period;2019;Abstract In an attempt to study the length distinction of high vowels in Sukhothai Thai, this research compares an analysis of the graphemic system and spelling variations found in the Sukhothai inscriptions with the phonemes in Proto-Southwestern Tai (PSWT) and donor languages of the loanwords. The result indicates that short and long high vowels in PSWT behave differently in phonemic-graphemic mapping. Short vowels are mapped with ?i? and ?u? whereas long vowels with ???, ????, and ???. In addition, the existing spelling variations are limited to specific kinds of words, namely: open-syllable words, loanwords, and function words, all of which are susceptible to variation in spelling. These findings attest to the existence of length contrast in Sukhothai Thai.;CAHIERS DE LINGUISTIQUE ASIE ORIENTALE
10.1163/19606028-04801002;?? ?;????????????;2019;?? ??????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????;CAHIERS DE LINGUISTIQUE ASIE ORIENTALE
10.1163/19606028-04801003;Jos? Andr?s ALONSO DE LA FUENTE;Some thoughts on the etymology of Written Manchu atanggi ‘when’;2019;Abstract In this paper, it is argued that Written Manchu atanggi ‘when, at what time’, an obscure formation, comes from *a-te-nggi < *ai-te-nggi.;CAHIERS DE LINGUISTIQUE ASIE ORIENTALE
10.1163/19606028-04702001;Jonathan SMITH;A/B Type segregation in mixed-onset phonetic series is the key to early Chinese onset complexity;2018;"Abstract There is still little agreement regarding the most important evidence for Old Chinese (OC) onset complexity—Middle Chinese (MC) mixed-onset phonetic series. This study explores a remarkable feature of this evidence first noticed by Sagart (1999). Within series such as those involving mixture of MC labials and velars with l-, x- with m-, velars with hj- (/y/), and d- with y- (/j/), MC onset and so-called A/B (syllable) Type fail to vary independently of one another. An unrecognized but inescapable implication of this association is that these MC onset results and A/B Type require a unified explanation in early Chinese. In light of the phonetic series material, I demonstrate that pre-OC Type involved two contrasting onset configurations. A number of phonetic specifications are conceivable; here, based on ideas of Ferlus (1998), I show how the data can be explained in terms of an early contrast between minor syllable forms **C?R- (“Type A”) and tautosyllabic clusters **CR- (“Type B”) where R is a sonorant.";CAHIERS DE LINGUISTIQUE ASIE ORIENTALE
10.1163/19606028-04702003;Jiyoung CHOI;On the lexical meaning of inchoative states in Korean;2018;Abstract This paper aims to investigate the lexical meaning of so-called inchoative states (INSs) in Korean that do not fit into Vendler (1967)’s aspectual classification, in that they show properties of both atelic (states) and telic (change-of-state) predicates. Building on Bar-el (2005), this paper proposes that INSs in Korean are semantically complex predicates describing a sequence of two events, one that is a change-of-state an achievement would describe, immediately followed by a second that is an eventuality a typical state would describe. This paper also provides an analysis of INSs accounting for their temporal properties.;CAHIERS DE LINGUISTIQUE ASIE ORIENTALE
